ind,id,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,Q95,ZEFF,TAV,LCOULOMB,QCYL5,TAUBOHM,RHOSTAR,BETASTAR,NUSTAR,OMEGACYCL
12621,627BQ8,HSELM,ASDEX,0.2961,2.195,2.723,1.3399999999999999,1.681,0.9864,0.2411659726353361,1.5,0.04877,19820720,6553,1.252,4.362,0.0,1056.42567687911,15.543382402630751,3.5752503715399886,0.07136676666666666,0.006441830997955047,0.42369245650265747,0.16935502060414237,1.4633333333333332
12622,YND4GV,HGELM,ASDEX,0.2963,2.197,3.105,1.2229999999999999,1.684,0.971,0.24459619952494063,1.5,0.07274,19820720,6553,1.278,4.671,0.0,1239.05976089682,15.637204279271955,3.6271849601032597,0.10653985333333334,0.0068601308479647625,0.5656228362547354,0.1405258146968767,1.4646666666666668
12623,0UX8L9,HGELM,ASDEX,0.29369999999999996,2.195,3.16,1.9,1.675,0.9656,0.2471641791044776,1.5,0.05061,19820720,6553,1.304,4.864,0.0,1316.27622480075,15.688878996654879,3.6933608093461023,0.0740593,0.007041201525479063,0.6126300022657969,0.12677273141094977,1.4633333333333332
12628,9SVAUE,HSELM,ASDEX,0.3719,2.195,4.433,1.323,1.677,1.012,0.23542039355992841,1.5,0.06392,19820722,6602,1.19,3.164,0.0,864.679382266828,15.099423527330824,2.776039858143842,0.09353626666666666,0.005984446721154023,0.5645689340769088,0.32108735383967985,1.4633333333333332
12629,7XPL7R,HGELM,ASDEX,0.37079999999999996,2.196,5.096,1.551,1.678,0.9973,0.23873659117997617,1.5,0.07868,19820722,6602,1.227,3.339,0.0,1069.17475944883,15.242017441230338,2.8237656773946975,0.11518752000000002,0.006555248950867131,0.8017641560338421,0.24288420853520007,1.4640000000000002
12630,KF987Z,HGELM,ASDEX,0.3699,2.197,5.125,1.9529999999999998,1.675,0.9943,0.23976119402985074,1.5,0.06717,19820722,6602,1.263,3.39,0.0,1143.07922682121,15.306018737013993,2.8432051261228692,0.09838166,0.006758067523951434,0.8612778523396921,0.21430918436991384,1.4646666666666668
12635,VBPK42,HGELM,ASDEX,0.3705,2.195,6.0169999999999995,1.3739999999999999,1.676,1.008,0.23639618138424823,1.5,0.07724,19820722,6606,1.22,3.218,0.0,797.434051852169,14.86570776284766,2.7977562414745054,0.11302786666666666,0.005726727448507499,0.7067062472200077,0.5049890057645168,1.4633333333333332
12636,GUNB14,HGELM,ASDEX,0.3704,2.195,6.476,1.496,1.677,1.007,0.23661299940369707,1.5,0.07806,19820722,6606,1.235,3.233,0.0,813.768788833337,14.849227787874014,2.8007796534741076,0.11422779999999999,0.005776336007362713,0.7761970916645682,0.5214893310333076,1.4633333333333332
12637,N0DXOO,HGELM,ASDEX,0.3699,2.195,6.802,1.9709999999999999,1.676,1.003,0.237708830548926,1.5,0.06204,19820722,6606,1.249,3.284,0.0,808.476767345074,14.818146623137228,2.8175089181670443,0.09078519999999998,0.005734400737353661,0.8099688445888393,0.5529036273904927,1.4633333333333332
12642,DVBHDJ,HSELM,ASDEX,0.2966,2.197,3.283,1.137,1.654,0.9931,0.24347037484885128,1.5,0.05202,19820722,6616,1.178,4.337,0.0,811.358501863214,15.185934209663273,3.6072717311292304,0.07619196,0.00567809730537976,0.39161268549100353,0.3309898402948544,1.4646666666666668
